Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
12.350,0.509,0.32,0.0
12.400,0.524,0.32,0.0
12.450,0.540,0.32,0.0
12.500,0.556,0.32,0.0
12.550,0.572,0.31,0.0
12.600,0.588,0.31,0.0
12.650,0.603,0.31,0.0
12.700,0.619,0.31,0.0
12.750,0.634,0.31,0.0
12.800,0.650,0.31,0.0
12.850,0.666,0.31,0.0
12.900,0.681,0.31,0.0
12.950,0.696,0.31,0.0
13.000,0.712,0.31,0.0
13.050,0.727,0.31,0.0
13.100,0.742,0.31,0.0
13.150,0.758,0.31,0.0
13.200,0.773,0.31,0.0
13.250,0.788,0.30,0.0
13.300,0.803,0.30,0.0
13.350,0.819,0.30,0.0
13.400,0.834,0.30,0.0
13.450,0.849,0.30,0.0
13.500,0.864,0.30,0.0
13.550,0.879,0.30,0.0
13.600,0.894,0.30,0.0
13.650,0.909,0.30,0.0
13.700,0.924,0.30,0.0
13.750,0.939,0.30,0.0
13.800,0.954,0.30,0.0
13.850,0.968,0.30,0.0
13.900,0.983,0.30,0.0
13.950,0.998,0.29,0.0
14.000,1.013,0.29,0.0
14.050,1.027,0.29,0.0
14.100,1.042,0.29,0.0
14.150,1.056,0.29,0.0
14.200,1.071,0.29,0.0
14.250,1.086,0.29,0.0
14.300,1.100,0.29,0.0
14.350,1.114,0.29,0.0
14.400,1.129,0.29,0.0
14.450,1.143,0.29,0.0
14.500,1.158,0.29,0.0
14.550,1.172,0.29,0.0
14.600,1.186,0.29,0.0
14.650,1.201,0.29,0.0
14.700,1.215,0.29,0.0
14.750,1.230,0.28,0.0
14.800,1.244,0.28,0.0
14.850,1.258,0.28,0.0
14.900,1.272,0.28,0.0
14.950,1.286,0.28,0.0
15.000,1.300,0.28,0.0
15.050,1.314,0.28,0.0
15.100,1.329,0.28,0.0
15.150,1.343,0.28,0.0
15.200,1.357,0.28,0.0
15.250,1.371,0.28,0.0
15.300,1.385,0.28,0.0
15.350,1.400,0.29,0.0
15.400,1.412,0.28,-0.1
15.450,1.429,0.28,-0.1
15.500,1.441,0.27,0.0
15.550,1.454,0.27,0.0
15.600,1.469,0.28,0.0
15.650,1.482,0.28,0.0
15.700,1.497,0.28,0.0
15.750,1.510,0.28,0.0
15.800,1.524,0.28,0.0
15.850,1.539,0.28,0.0
15.900,1.551,0.28,0.0
15.950,1.567,0.27,0.0
16.000,1.579,0.28,0.0
16.050,1.592,0.27,0.0
16.100,1.609,0.28,0.0
16.150,1.620,0.28,0.0
16.200,1.637,0.28,0.0
16.250,1.648,0.29,0.0
16.300,1.664,0.28,0.0
16.350,1.678,0.28,-0.1
16.400,1.691,0.27,-0.1
16.450,1.705,0.26,-0.1
16.500,1.718,0.26,0.1
16.550,1.730,0.27,0.1
16.600,1.746,0.28,0.0
16.650,1.759,0.27,-0.1
16.700,1.772,0.26,-0.1
16.750,1.786,0.25,0.0
16.800,1.796,0.26,0.1
16.850,1.812,0.27,0.0
16.900,1.825,0.27,-0.1
16.950,1.837,0.26,-0.1
17.000,1.850,0.25,-0.1
17.050,1.863,0.25,0.0
17.100,1.876,0.25,-0.1
